,식품명,energy,protein,calcium,phosphorus,iron,niacin,folate,vitaC,thiamin,riboflavin
6449,오이나물무침,66.15,1.46,35.88,49.14,0.38,0.19,2.59,1.14,0.06,0.03
6450,유채나물무침,86.24,5.22,145.12,91.44,0.91,0.09,127.81,2.72,0.05,0.18
6451,참나물무침,53.85,2.26,79.4,40.81,0.58,0,9.01,0.96,0,0.04
6452,취나물된장무침,39.38,2.77,88.78,39.35,0.69,2.4,8.69,0.65,0,0.06
6453,콩나물고춧가루무침,83.58,3.54,33.22,74.84,0.73,0,34.41,0,0.14,0.08
6454,콩나물무침,34.54,1.93,26.23,34.24,0.29,0.19,12.21,0.32,0.05,0.03
6455,토란대나물무침,61.11,4.63,273.38,88.18,2.23,0,13.34,0,0.07,0.04
6456,톳나물무침,67.82,1.68,81.91,28.47,0.83,0.74,22.4,1.78,0,0.08
6457,간짜장,625.08,25.59,59.04,265.09,2.69,0.56,45.23,22.83,1.2,1.06
6458,고기만두,350.25,27.23,43.15,257.01,2.27,0.65,30.61,0,0.75,0.2
6459,군만두,514.51,15.46,89.97,197.67,1.8,23.69,78.9,10.33,0,0.14
6460,김치만두,334.15,22.53,39.63,204.72,1.82,1.69,33.96,0,1.12,0.19
6461,달걀라면,596.11,14.36,80.63,87.12,1.5,0.34,58.98,0,0.21,1.59
6462,떡국,588.01,24.01,26.66,239.54,2.57,2.33,66.52,15.73,0,0.23
